NAME;EVENT TYPE;COUNTRY;WEBSITE;EVENT DATE;COMMENT;EMAIL;Unnamed: 7;APPLIED 2023;APPLIED 2025;Unnamed: 10;Unnamed: 11;CONTACT PERSON;TOWN
Passage Festival;Festival;Denmark;https://passagefestival.nu/en/home/;Juli;;passagefestival@helsingor-teater.dk;;1.0;1.0;;;;
Waves Festival;Fetsival;Denmark;https://www.wavesfestival.dk/en/;;next 25;Malco Oliveros malco@cantabile2.dk;;0.0;1.0;;;;
KLP Festival;Festival;Germany;;mai;;info@muetzingenta.de k.grasnick@gmx.de;send application to both emails;1.0;1.0;;;;
Dance in the City - Festival tanzende Stadt;Festival;Germany;https://www.irene-k.be/compagnie-en/festival/Call_for_proposal_2021.php?fbclid=IwAR3zZjla1-ggllqmsoBvEJhJkNpmD8NaFP78VlAvxMdDDIqQRTm_m2_iIaY;;;info@irene-k.be;;0.0;0.0;;;;
Bamberg;Festival;Germany;http://www.bamberg-zaubert.de/;;;;;1.0;1.0;;;;
Düsseldorf Festival full spin;Festival;Germany;https://www.fullspinfestival.de/?fbclid=IwAR2CFjiaw_CsJ7YqMM6ZoNiryCwG_eO1BWgU9wJGhCzIzh7gsvEUhIRkbcss;;;"leoni(at)duesseldorf-festival.de
heussen(at)duesseldorf-festival.de";Next one: 2024;1.0;1.0;;;;
Festival No Elephants - Freiburger Zirkustage;Festival;Germany;https://ewerk-freiburg.de/programmatik/festivals-2/;;;ewerk@ewerk-freiburg.de;;1.0;0.0;;;;
Neuland Festival;Festival;Germany;www.kultur-perspektiven.de;;;mail@kultur-perspektiven.de;;1.0;0.0;;;;
Freeman Festival;Festival;Germany;https://wannda.de/kontakt/;;;info@wannda.de;;0.0;0.0;;;;
Brückensensationen Festival;Festival;Germany;https://www.rheinfelden.de/Brueckensensationen;;;kulturamt@rheinfelden-baden.de;;0.0;0.0;;;;
Freiart Festival;Festival;Germany;https://www.freiartfestival.com;;DANCE;info@freiartfestival.com;;0.0;1.0;;;;
Hut Festival;Festival;Germany;https://www.hutfestival.de/;;Anne Grimm;a.grimm@c3-chemnitz.de;;1.0;1.0;;;;
Impulse Festival;Festival;Germany;https://www.impulsefestival.de;;;info@impulsefestival.de;;1.0;0.0;;;;
Outnow Festival;Festival;Germany;https://outnowbremen.de/;;;https://outnowbremen.de/wp-content/uploads/2022/06/OUT23Ausschreibung_Form_DE.pdf;;1.0;0.0;;;;
Sommerpalast;Festival;Germany;https://www.sommerpalast.de/;;;info@sommerpalast.de;;1.0;1.0;;;;
Palaisommer Dresden;Festival;Dresden;https://palaissommer.de/;;;polenz@palaissommer.de;;1.0;1.0;;;;
Theater Op de Mark;;Festival;https://theateropdemarkt.be/;Okt/ Nov;;theateropdemarkt@limburg.be;;1.0;0.0;;;;
ViaThea;Festival;Görlitz;https://viathea.de/kuenstler/;;;viathea@g-h-t.de;;1.0;1.0;;meldet sich im februar hat gesagt der ist interesiert;;
Lesliehof Graz;Open air Bühne;Graz;;;;;;0.0;0.0;;recontacter plus tard en 2023;;
Lendwirbel Graz;Festival;Graz;https://www.lendwirbel.at/;;;office@lendwirbel.at;;0.0;0.0;meh;;;
Steirischer Herbst;Festival;Graz;https://www.steirischerherbst.at/de/;;;info [;;0.0;0.0;meh;;;
Theaterland Steiermark;Festival;graz;https://www.theaterland.at/2021/theaterland-steiermark-2.21/index.html;;Peter Fasshuber;fasshuber@theaterland.at;;1.0;0.0;meh;;;
KulturSommerWien;Festival;Austria;;;;;;0.0;1.0;;;;
Festival Belluard;Festival;Fribourg;https://belluard.ch/de;;;Diane Fleury: diane@belluard.ch Gionata Morganti: gionata@belluard.ch;;1.0;0.0;;;;
Garmisch-Partenkirchen;Festival;Garmisch;Zeitwanderer.att;;;Zeitwanderer Application;;0.0;0.0;;;;
Tollwood Weihnachstsmarkt;Weihnachten;Gemany;https://www.tollwood.de/;;;joana.hoelcke@tollwood.de;Nur Weihnachten;0.0;0.0;;;;
Internationales Pantomime Theater Festival;;Germany;https://mimedresden.de/;;;info@mimedresden.de;november;1.0;1.0;;;;
ATOLL;Festival;Germany;https://www.tollhaus.de/de/214/atoll.html;September;;info@tollhaus.de;;0.0;1.0;;;;
Gassenstationen;Festival;Germany;https://gassensensationen.de/kuenstler/;Juli;;info@gassensensationen.de;;1.0;1.0;;;;
La Strada;Festival;Germany;https://lastrada-bremen.de/bewerbung;;;application@lastrada-bremen.de;UNBEDEINGT Bewerben;1.0;1.0;;;;
Tête à Tête;Festival;Germany;https://www.tete-a-tete.de/de/festival/info/;Juni;;info@tete-a-tete.de;UNBEDEINGT Bewerben;1.0;0.0;;;;
Zirkart Festival;Festival;Germany;http://zirkart.de/;september;;info@zirkart.de;;1.0;1.0;;;;
Larupina;Festival;Hamburg;https://lurupina.de;;;info@lurupina.de;;1.0;1.0;;;;
Composé festival;Festival;Jena;https://www.compose-festival.de/;September;;mail@compose-festival.de;;1.0;1.0;;;;
Villach Festival;Festival;Austria;https://villach.at/stadt-erleben/kultur/strassenkunstfestival;;;stadtmarketing@villach.at;;;1.0;;;;
Circus Dance Festival;Festival;Köln;https://www.circus-dance-festival.de/;;Malte Garrecht;malte@overhead-project.de;;1.0;1.0;;;;
Circustage Kufstein;Festival;Kufstein;https://www.circustage.at/;Januar;;schobesberger@circustage.at;;0.0;0.0;;;;
At.Tension;Festival;Lärz;http://www.attension-festival.de/2019/de/kontakt.php;;;theater@ kulturkosmos.de;;0.0;1.0;;;;
Cirkl;Fetival;Leuwen;https://www.cirklcircus.be/en/home;Mai;;info@cirklabo.be;;0.0;0.0;;;;
Olala Lienz;Festival;Lienz;http://www.olala.at/ueber-olala/;;Hans Mutschlechner;info@ummigummi.at;;0.0;1.0;;;;
Linzer Pflasterspektakel;Festival;Linz;https://pflasterspektakel.at/de/;;;pflasterspektakel@linz.at;;1.0;1.0;;;;
Ana Desetnica - International Street Art Festival;Festival;Ljubljana;https://www.anamonro.si/en/pillar/ana-desetnica/;;;goro.anamonro@gmail.com;;0.0;0.0;;;;
Floating Castle Festival;Festival;Ljubljana;https://www.floatingcastle.si/sl/floating/2021/home;;;kuralt.vesna@gmail.com floatingcastle.programme@gmail.com;;0.0;1.0;;;;
Flying Carpet Festival;Festival;Mardin;https://www.flyingcarpetfestival.org/;;;sahbakia@sirkhane.org;;0.0;1.0;;;;
Maribor Theater Festival;Festival;Maribor;https://www.borstnikovo.si/en/;;;dasa.sprincnik@borstnikovo.si;;1.0;1.0;;;;
Circo Circolo;Festival;Nederlande;https://www.festivalcircolo.nl/;;;Stephan@festivalcircolo.nl;;0.0;1.0;;;;
Boulevard Theaterfestival;Festival;Niederlande;https://www.festivalboulevard.nl/;;;tessa@festivalboulevard.nl;;1.0;1.0;;;;
Circus Festival Breda;Festival;Niederlande;https://circusfestivalbreda.nl/;;Maryon Keldermans;info@circusfestivalbreda.nl;;1.0;0.0;;;;
Cirque Mania Festival;Festival;Niederlande;https://korzo.nl/en/themes/cirque-mania/;;;info@korzo.nl;;1.0;0.0;;;;
Deventer Op Stelten;;Niederlande;https://www.deventeropstelten.nl/;;;pers@eventsdeventer.nl;;1.0;0.0;;;;
Oerol;Festival;Niederlande;https://www.holland.com/de/tourist/aktivitaten/veranstaltungen/oerolfestival-8.htm;;;programma@oerol.nl Wendy Moonen;;1.0;0.0;;;;
Reuring;Festival;Niederlande;https://www.reuring.com/;Juli;Adriaan Bruin;programmering@reuring.com;;1.0;0.0;;;;
Spoffin;Festival;Niederlande;https://spoffin.eu/;August;January until 28 February 2024;festival@spoffin.nl;Does not accept proposals;1.0;1.0;;;;
Paderborn Festival;;;;;;;;0.0;1.0;;;;
Paderborn Messe;Festival;Paderborn;https://www.paderborn.de/microsite/performance/;Kein Festival sondern Messe;;info@performance-paderborn.de;online;0.0;0.0;;;;
Podersdorf;Festival;Podersdorf;Zeitwanderer.at;;;Zeitwanderer Application;;0.0;0.0;;;;
International Mime Art Festival;Festival;Poland;mimefestival.pl;October;mime;mimefestival@mimowie.pl;;1.0;1.0;;;;
Carnaval Sztuk-Mistrzów;Festival;Polen;https://sztukmistrze.eu/;;"Rafał Sadownik
Iwona Kornet Marta Kuczyńska";info@sztukmistrze.eu / marta.kuczynska@sztukmistrze.eu;;1.0;1.0;;;;
Cirkulaje;Festival;Polen;www.sztukmistrze.pl/cyrkulacje?fbclid=IwAR2Zme4eYPTN4B6gNZ_GXA5NUtScw0l7s1V270BQbIgKrS1q68IM21psK2E;Newyear;;kontakt@sztukmistrze.pl;noch nicht offen;0.0;0.0;;;;
Malta Festival Poznań;Festival;Polen;https://malta-festival.pl/en;;;office@malta-festival.pl;;1.0;0.0;;;;
OFCA Festival;Festival;Polen;https://festiwalofca.pl/en/;;;biuro@festiwalofca.pl;;1.0;1.0;;;;
Cirkopolis;Festival;Prag;https://www.cirkopolis.cz/;February;Adéla Brabcová;adela@cirqueon.cz;;0.0;0.0;;;;
Ruhrfestspiele;Festival;Recklinghausen;https://www.ruhrfestspiele.de/;;;info@ruhrfestspiele.de;;1.0;0.0;;;;
Kulturpflaster;Festival;Regensburg;https://www.mischkultur.org/;;;kontakt@mischkultur.org;;1.0;1.0;;;;
Circusstad;Festival;Rotterdam;https://circusstad.nl/;;;menno@circusstad.nl;;0.0;0.0;;;;
Sibiu International Theater Festival;Festival;Roumänien;https://www.sibfest.ro;;;Vicențiu Rahău vicentiu.rahau@sibfest.ro;;1.0;0.0;;;;
behind the door;Festival;Czech;https://zadvermi.cz/en/kontakt/;;;;;;1.0;;;;
Divadlo Festival;Festival;Czech;https://festivaldivadlo.cz/en;;;;;;1.0;;;;
Cirqu'Arau;Festival;Schweiz;https://www.cirquaarau.ch/?fbclid=IwAR0vIVfDNnWd0Rq2Dw5737thCy5cPuRAqvGt94lgmt75_1i5WSK20_8DdDs;NEXT 2025;Laura Olgiati;olgiati@cirquaarau.ch;;1.0;0.0;;;;
MimeFest;Festival;Czech;https://mimefest.cz/en/contacts/;;;;;;1.0;;;;
Komediani Vulicic;Festival;Czech;http://komediantivulicich.cz/;;;komediantivulicich@gmail.com;;;1.0;;;;
Theater Spektakel Zürich;Festival;Schweiz;https://www.theaterspektakel.ch/programmarchiv;;;contact@theaterspektakel.ch;Online Bewerbung (mitte januar);1.0;0.0;;;;
Storytelling Festival;Festival;Steiermark;www.storytellingfestival.at/festivalkontakt/team/;;;office@storytellingfestival.at;;1.0;1.0;;;;
La Bâtie-Festival;Festival;Swiss;https://www.batie.ch/;;Claude Ratzé;contact@batie.ch;;1.0;0.0;;;;
KoressponDance;Festival;tschechen;https://www.korespondance.cz/en/;;Eva Dryjová;eva.dryjova@se-s-ta.cz;;0.0;0.0;;;;
Letni Letna;Festival;Tschechen;https://en.letniletna.cz/en/international-festival-of-contemporary-circus-and-theater-letni-letna/;;Anna Vondráčková;anna.vondrackova@letniletna.cz;;0.0;1.0;;;;
Roztocfest;Festival;Tscheichen;https://roztocfest.com/;;;info@roztocfest.com;;1.0;0.0;;;;
Internationales Kleinkunstfestival;Festival;Usedom;https://www.kleinkunst-festival.com/infos/;;;info@kleinkunst-festival.com;;0.0;1.0;;;;
Artists de Rue;Festival;Vevey;artistesderue.ch/;;;contact@artistesderue.ch;;1.0;1.0;;;;
On the Edge;Festival;Wien;https://www.ontheedge.at/festivalprogramm;November;;info@ontheedge.at;;0.0;0.0;;;;
Wiener Neustadt Straßenfestival;Festival;Wien;https://www.strassenkunstfestival.at/;;;backstage@zeitenwanderer.at;Ab 3.Dezember über Zeitwanderer!!;0.0;1.0;wrote email;;;
Theaterspektakel Zürich;Festival;Zürich;https://www.theaterspektakel.ch/service/kontakt;;;contact@theaterspektakel.ch;;0.0;1.0;;;;
Straatkunstenfestival Del Mundo;Festival;Belgium;https://www.facebook.com/StraatkunstenfestivalDelMundo?fref=ts;;;evenementen@maasmechelen.be;;0.0;1.0;;;;
Straßenkünstlerfestival in Scharbeutz;Festival;Deutschaland;https://www.luebecker-bucht-ostsee.de/jahreshighlights;03-08.08;;info@luebecker-bucht-ostsee.de;;0.0;0.0;;;;
Pinneberger Kleinkunstfestival;Festival;online;https://www.stadtmarketing-pinneberg.info/;;CHRISTMAS;info@stadtmarketing-pinneberg.info;;0.0;0.0;;;;
Gauklerfestung Koblenz;Festival;Germany;https://gauklerfestung.de/programm-samstag/;;;gaukler@cafehahn.de;;1.0;0.0;;;;
Kulturufer Friedrichshafen;Festival;Germany;https://kulturufer.de/;;online application;kulturbuero@friedrichshafen.de;;1.0;1.0;;;;
Kultur auf der Straße Ulm;Festival;Germany;https://www.neu-ulm-strassenkultur.de/;;;Onlineformular;;1.0;1.0;;;;
Buskers Bus;Festival;Polen;https://www.buskerbus.com/;;;Ab Januar hier: https://www.buskerbus.com/apply/;Apply beginning of january closes very quickly!!;0.0;0.0;apply mid feb;;;
Kavc;Festival;Slovenia;;;;;;1.0;1.0;;;;
Floating Castle Festival;Festival;Slovenia;;;;;;0.0;0.0;;;;
Cirkul'Art Festival;Festival;Slovakei;https://cirkulart.sk/de/;;Katarína Pokorná;katarina.pokorna@cirkulart.sk;;0.0;0.0;;;;
Cirkulum Festival;Festival;Tschechien;https://www.cirkulum.cz/en/;;;produkce@cirkulum.cz  cirkulum@cirkulum.cz;;0.0;0.0;;;;
ULICA FESTIVAL KRAKOW;Festival;Polen;https://teatrkto.pl/35-street-theatre-festival-2022/;;;sekretariat@teatrkto.pl;;1.0;1.0;;;;
FESTIWAL DWOCH JEZEIOR;Festival;Polen;https://www.festiwaldwochjezior.pl/index.php;;;info@wckwalcz.pl;;0.0;0.0;;;;
OFCA Festival;Festival;Polen;https://festiwalofca.pl/en/strona-glowna/;;;;;0.0;1.0;;;;
sztukauliczna;Festival;Polen;https://sztukaulicy.pl/;;;sztukauliczna.festiwale@gmail.com;;0.0;1.0;;;;
Aichtal Juggling con;Juggling convention;Deutchland;www.jonglieren-in-aichtal.de;;;orga-team@jonglieren-in-aichtal.de;;0.0;0.0;;;;
Berlin juggling Conv;;;https://circulum.de/convention/23/en/english/;;;gala@circulum.de;;0.0;0.0;;;;
Bremen juggling con;;;https://bremen-jongliert.de/;;;bremenjonglagecon@yahoo.de;;0.0;0.0;;;;
Freiburg juggling con;;;jonglieren-in-freiburg.de;;;info[ät]jonglieren-in-freiburg.de;;0.0;0.0;;;;
Drop am See;;;drop-am-see.de;;;orga@drop-am-see.de;;0.0;0.0;;;;
Fuori asse;Festival;Italien;https://www.quattrox4.com/en/fuori-asse-festival-2023/;;;segreteria@quattrox4.com;;1.0;1.0;;;;
https://festiwalofca.pl/en/strona-glowna/;;Polen;;;;;total;;1.0;;;;
https://feta.pl/;;Polen;;;;;;;1.0;;;;
https://migok.pl/dionizje-2023/;;Polen;;;;;;;1.0;;;;
https://teatrnorwida.pl/kontakt/;;Polen;MFTU;;;;;;1.0;;;;
https://fama.wroc.pl/kalendarz/cyrkopole/;;Polen;Cyrkopole;;;;;;1.0;;;;
https://ulicznicy.pl/o-festiwalu-2018/;;Polen;Ulicznicy;;;;;;1.0;;;;
Pilsen Buskers;;Czech;busking.plzen@gmail.com;;;;;;1.0;;;;
https://busker.pl/en/open-call-buskers/;;Polen;;;;;beginning 2025!;;0.0;;;;
